序号,套装名称,包含商品,单品总价（原价）,套装活动价,匹配度,核心卖点
1,抗老焕颜全能套装,红宝石精华3.0 + 红宝石抗皱面霜3.0 + 红宝石冰陀螺眼霜,¥988,¥856,95%,早C晚A抗老三件套，珀莱雅抗老线核心爆款
2,水光亮透焕肤套装,双抗精华3.0 + 双抗水乳套装 + 神经酰胺涂抹面膜,¥1066,¥899,92%,双抗系列全链路抗氧，搭配面膜提亮，适合熬夜党
3,净颜清爽防护套装,净颜洗面奶 + 水动力氨基酸洁面乳 + 云朵防晒霜,¥327,¥279,88%,日常清洁+防晒三件套，油皮/混油刚需，高复购
4,红宝石抗老水乳套装,红宝石精华3.0 + 红宝石活肤乳2.0 + 赋能鲜颜淡纹紧致活肤水,¥817,¥699,93%,红宝石系列水乳精华三件套，紧致抗皱，适合25+抗初老
5,双抗全系列提亮套装,双抗精华3.0 + 双抗水乳套装 + 双抗小夜灯眼霜 + 双抗精华水,¥1355,¥1129,91%,双抗系列全家桶，全脸抗氧提亮，适合黄皮暗沉肌
6,敏肌修护舒缓套装,源力面霜2.0 + 神经酰胺涂抹面膜 + 水动力氨基酸洁面乳,¥527,¥439,89%,敏肌修护三件套，温和清洁+修护+锁水，敏感肌专属
7,早C晚A黄金套装,双抗精华3.0 + 红宝石精华3.0 + 红宝石抗皱面霜3.0,¥1107,¥929,94%,经典早C晚A组合，抗氧+抗皱双效，珀莱雅王牌组合
8,眼周抗老焕亮套装,红宝石冰陀螺眼霜 + 双抗小夜灯眼霜 + 红宝石精华3.0,¥938,¥799,90%,双眼霜+精华，眼周全维度抗老，适合眼纹、黑眼圈用户
9,功效护肤入门套装,双抗精华3.0 + 净颜洗面奶 + 云朵防晒霜,¥696,¥579,87%,入门功效护肤三件套，抗氧+清洁+防晒，新手友好
10,安瓶密集修护套装,至简密护安瓶精华液 + 源力面霜2.0 + 神经酰胺涂抹面膜,¥877,¥739,86%,安瓶+面霜+面膜，密集修护，适合换季/医美术后修护
