用户ID,肤质,皮肤问题,推荐1_系列,推荐1_产品,推荐1_匹配度,推荐2_系列,推荐2_产品,推荐2_匹配度,推荐3_系列,推荐3_产品,推荐3_匹配度
U00000001,油性/混油,敏感泛红,双抗系列,双抗精华3.0,0.85,源力系列,至简密护安瓶精华液,0.6,红宝石系列,红宝石抗皱面霜3.0,0.5
U00000002,敏感肌,细纹皱纹,源力系列,神经酰胺涂抹面膜,0.95,红宝石系列,红宝石精华3.0,0.5,基础保湿系列,水动力氨基酸洁面乳,0.5
U00000003,油性/混油,暗沉发黄,双抗系列,双抗水乳套装,1.0,红宝石系列,红宝石抗皱面霜3.0,0.5,基础保湿系列,净颜洗面奶,0.5
U00000004,中性,细纹皱纹,红宝石系列,红宝石活肤乳2.0,0.8,双抗系列,双抗精华3.0,0.6,能量系列,赋能鲜颜淡纹紧致活肤水,0.6
U00000005,敏感肌,敏感泛红,源力系列,源力面霜2.0,1.0,基础保湿系列,云朵防晒霜,0.5,双抗系列,双抗小夜灯眼霜,0.4
U00000006,干性/混干,干燥缺水,红宝石系列,红宝石精华3.0,0.85,基础保湿系列,净颜洗面奶,0.85,源力系列,至简密护安瓶精华液,0.7
U00000007,油性/混油,干燥缺水,双抗系列,双抗精华水,0.85,基础保湿系列,净颜洗面奶,0.65,源力系列,神经酰胺涂抹面膜,0.5
U00000008,敏感肌,敏感泛红,源力系列,神经酰胺涂抹面膜,1.0,基础保湿系列,净颜洗面奶,0.5,双抗系列,双抗小夜灯眼霜,0.4
U00000009,干性/混干,暗沉发黄,红宝石系列,红宝石抗皱面霜3.0,0.85,基础保湿系列,云朵防晒霜,0.7,双抗系列,双抗水乳套装,0.6
U00000010,敏感肌,暗沉发黄,源力系列,源力面霜2.0,0.95,双抗系列,双抗精华水,0.6,基础保湿系列,净颜洗面奶,0.5
U00000011,油性/混油,敏感泛红,双抗系列,双抗小夜灯眼霜,0.85,源力系列,神经酰胺涂抹面膜,0.6,红宝石系列,红宝石抗皱面霜3.0,0.5
U00000012,油性/混油,敏感泛红,双抗系列,双抗精华水,0.85,源力系列,至简密护安瓶精华液,0.6,红宝石系列,红宝石冰陀螺眼霜,0.5
U00000013,干性/混干,暗沉发黄,红宝石系列,红宝石精华3.0,0.85,基础保湿系列,云朵防晒霜,0.7,双抗系列,双抗小夜灯眼霜,0.6
U00000014,中性,敏感泛红,源力系列,至简密护安瓶精华液,0.7,红宝石系列,红宝石抗皱面霜3.0,0.6,双抗系列,双抗小夜灯眼霜,0.6
U00000015,油性/混油,敏感泛红,双抗系列,双抗小夜灯眼霜,0.85,源力系列,神经酰胺涂抹面膜,0.6,红宝石系列,红宝石冰陀螺眼霜,0.5
U00000016,中性,细纹皱纹,红宝石系列,红宝石活肤乳2.0,0.8,双抗系列,双抗小夜灯眼霜,0.6,能量系列,赋能鲜颜淡纹紧致活肤水,0.6
U00000017,油性/混油,暗沉发黄,双抗系列,双抗精华3.0,1.0,红宝石系列,红宝石精华3.0,0.5,基础保湿系列,水动力氨基酸洁面乳,0.5
U00000018,油性/混油,暗沉发黄,双抗系列,双抗小夜灯眼霜,1.0,红宝石系列,红宝石精华3.0,0.5,基础保湿系列,水动力氨基酸洁面乳,0.5
U00000019,敏感肌,松弛下垂,源力系列,至简密护安瓶精华液,0.95,基础保湿系列,净颜洗面奶,0.5,红宝石系列,红宝石活肤乳2.0,0.4
U00000020,油性/混油,干燥缺水,双抗系列,双抗精华水,0.85,基础保湿系列,净颜洗面奶,0.65,源力系列,源力面霜2.0,0.5
U00000021,中性,暗沉发黄,双抗系列,双抗精华3.0,0.8,红宝石系列,红宝石抗皱面霜3.0,0.6,基础保湿系列,净颜洗面奶,0.6
U00000022,敏感肌,细纹皱纹,源力系列,神经酰胺涂抹面膜,0.95,红宝石系列,红宝石精华3.0,0.5,基础保湿系列,云朵防晒霜,0.5
U00000023,油性/混油,干燥缺水,双抗系列,双抗精华3.0,0.85,基础保湿系列,净颜洗面奶,0.65,源力系列,至简密护安瓶精华液,0.5
U00000025,敏感肌,细纹皱纹,源力系列,至简密护安瓶精华液,0.95,红宝石系列,红宝石抗皱面霜3.0,0.5,基础保湿系列,净颜洗面奶,0.5
U00000026,敏感肌,暗沉发黄,源力系列,至简密护安瓶精华液,0.95,双抗系列,双抗精华水,0.6,基础保湿系列,净颜洗面奶,0.5
U00000027,油性/混油,细纹皱纹,双抗系列,双抗小夜灯眼霜,0.85,红宝石系列,红宝石冰陀螺眼霜,0.7,基础保湿系列,云朵防晒霜,0.5
U00000030,中性,暗沉发黄,双抗系列,双抗精华水,0.8,红宝石系列,红宝石精华3.0,0.6,基础保湿系列,水动力氨基酸洁面乳,0.6
U00000032,油性/混油,敏感泛红,双抗系列,双抗小夜灯眼霜,0.85,源力系列,源力面霜2.0,0.6,红宝石系列,红宝石精华3.0,0.5
U00000033,干性/混干,暗沉发黄,红宝石系列,红宝石抗皱面霜3.0,0.85,基础保湿系列,水动力氨基酸洁面乳,0.7,双抗系列,双抗水乳套装,0.6
U00000034,油性/混油,细纹皱纹,双抗系列,双抗小夜灯眼霜,0.85,红宝石系列,红宝石抗皱面霜3.0,0.7,基础保湿系列,水动力氨基酸洁面乳,0.5
U00000035,敏感肌,暗沉发黄,源力系列,至简密护安瓶精华液,0.95,双抗系列,双抗小夜灯眼霜,0.6,基础保湿系列,水动力氨基酸洁面乳,0.5
U00000036,油性/混油,干燥缺水,双抗系列,双抗小夜灯眼霜,0.85,基础保湿系列,净颜洗面奶,0.65,源力系列,源力面霜2.0,0.5
