序号,商品名称,大促系数,平销期销量(月均),大促期销量峰值,备货策略建议
1,云朵防晒霜,4.08,2374,9692,作为珀莱雅防晒核心大单品，双11前2个月锁定核心代工厂专项产能，采用VMI供应商管理库存模式，由供应商直连仓配体系实时补货；提前储备30%应急安全库存，重点保障天猫、抖音官方旗舰店及头部直播渠道，防止流量期断货，同时平衡线下CS渠道供货，保证整体周转健康。
2,双抗水乳套装,3.99,1609,6425,抗初老核心套装，大促前1.5个月启动安全库存扩容，在常规库存基础上提升300%备货量；搭建中心仓+区域仓分仓布局，70%库存用于全国主渠道爆发，30%前置区域仓提升履约时效；提前锁定制剂原料，避免供应链卡壳，每日监控库存水位，低于预警线20%立即启动加急生产。
3,神经酰胺涂抹面膜,3.92,1112,4363,执行珀莱雅面膜类轻库存策略，平销期基本零库存运营，仅保留少量体验装；大促前1个月集中排产，按峰值需求110%批量生产，直入大促专用仓；优先保障直播间、套装捆绑出货，大促中期根据实时成交动态补单，减少呆滞库存风险。
4,双抗精华3.0,3.89,1408,5471,明星抗初老单品，提前2个月分批次备货；首批60%库存用于预售与开门红爆发，第二批40%用于中期追单补仓；结合预售加购数据实时调整入库节奏，严控超备货；剩余库存平滑转入日常销售，不做临时折价清仓，维护价格体系。
5,红宝石精华3.0,3.60,3772,13576,抗皱赛道核心大单品，实行重点SKU全天候库存监控；提前锁定制剂与包材产能，大促期间建立日度库存预警机制；各渠道库存统一调度，出现局部缺货立即跨仓调拨；后期根据成交节奏收缩补货，若库存偏高则通过会员购、组合套餐温和去化。
6,双抗精华水,3.54,3584,12676,与核心包材、代工签订弹性供货协议，约定大促可临时上浮20%产能；提前1个月按峰值105%备货，重点用于与双抗精华、水乳套装捆绑销售；单独销售占比控制在30%以内，全程监控原料安全库存，保障连续补货能力。
7,至简密护安瓶精华液,3.53,5220,18435,基础修护类走量单品，采用小批量多频次补货模式；首次备货40%，之后每3天根据日销滚动补单120%；线上线下均衡铺货，严控库存周转天数在15天内，降低资金占用与过期风险。
8,净颜洗面奶,3.36,4502,15140,引流型基础洁面，平销维持1.5个月安全库存；大促前1个月追加30%增量，重点投向拼多多、京东自营等流量渠道；如大促动销不及预期，多余库存快速调拨至线下CS渠道与礼盒赠品，避免积压。
9,源力面霜2.0,3.32,2565,8504,强季节性修护面霜，冬季大促提前2个月集中备货，按峰值110%储备；优先覆盖北方核心仓，提升寒冷地区履约效率；严格控制仓储温湿度，预留10%应急库存应对寒潮带来的需求突增。
10,红宝石抗皱面霜3.0,3.27,1824,5966,采用基础库存+大促增量模式，日常保留1个月安全库存；大促前追加50%备货，主要用于与红宝石精华、眼霜组合套组；根据满减、买赠力度动态调整补货节奏，确保套装不断货。
11,红宝石活肤乳2.0,3.23,954,3080,红宝石系列配套单品，与红宝石面霜按1:1.2比例组合备货，同步生产同步入库；优先满足套组出库，剩余单品转入日常销售或后续礼盒活动，不单独大量压货。
12,水动力洁面乳,3.12,2622,8189,基础保湿洁面，日常按月销稳定补货；大促关键节点（开门红、高潮日、返场）前10天追加20%库存；优先保供天猫、京东主站，线下暂不追加，集中资源避免分散断货。
13,水动力氨基酸洁面乳,2.86,624,1783,基础长尾SKU，平销维持2个月安全库存即可；大促仅小幅加量15%，以保障线下专柜、分销渠道为主；不追单、不加急，多余库存可作为套装赠品消化。
14,赋能鲜颜淡纹紧致活肤水,2.83,3029,8574,成熟稳定型单品，需求波动小，执行稳健补货策略；日常保持1.5个月安全库存，大促前加量25%；按实际成交小幅调整，不激进备货，避免长期呆滞。
15,双抗小夜灯眼霜,2.62,2373,6207,眼部护理核心品，大促重点节日专项备货；提前1个月按峰值110%备货，70%用于眼部礼盒、抗初老套盒组装；实时跟踪礼盒销量，优先保证套盒完整性，单品适度限量保证整体结构。
16,红宝石冰陀螺眼霜,2.51,2307,5780,高端眼部单品，需求稳定、客单价高，执行精准预测控库存模式；提前1个月按峰值100%备货，优先布局一线及新一线城市仓；缺货时优先从线下专柜调拨，线上短时限量维护高端形象；剩余库存用于会员礼与专柜体验装。
